#EventID, Time, Latitude, Longitude, Depth/Km, Author, Catalog, Contributor, ContributorID, MagType, Magnitude, MagAuthor, EventLocationName
23557691, 2019-12-09T02:44:46.370000, 44.0132, 11.3305, 8.5, SURVEY-INGV, , , , ML, 2.1, --, 6 km N Scarperia e San Piero (FI)
23557941, 2019-12-09T02:55:35.740000, 44.0102, 11.3128, 7.6, SURVEY-INGV, , , , ML, 2.1, --, 5 km N Scarperia e San Piero (FI)
23558041, 2019-12-09T03:27:32.710000, 41.6725, 15.6882, 16.5, SURVEY-INGV, , , , ML, 2.0, --, 5 km SW San Giovanni Rotondo (FG)
23558121, 2019-12-09T03:37:04.300000, 43.9955, 11.3137, 9.4, SURVEY-INGV, , , , Mw, 4.5, --, 4 km N Scarperia e San Piero (FI)
23558211, 2019-12-09T03:39:11.380000, 44.0088, 11.3347, 8.3, SURVEY-INGV, , , , ML, 3.0, --, 5 km N Scarperia e San Piero (FI)
23558291, 2019-12-09T03:42:01.940000, 44.0065, 11.2877, 8.9, SURVEY-INGV, , , , ML, 3.2, --, 4 km E Barberino di Mugello (FI)
23558331, 2019-12-09T03:42:36.270000, 44.0145, 11.3252, 8.1, SURVEY-INGV, , , , ML, 3.0, --, 6 km N Scarperia e San Piero (FI)
23558491, 2019-12-09T03:46:26.920000, 44.0103, 11.3077, 8.8, SURVEY-INGV, , , , ML, 2.3, --, 5 km N Scarperia e San Piero (FI)
23558631, 2019-12-09T03:50:15.160000, 44.0127, 11.3032, 8.2, SURVEY-INGV, , , , ML, 2.4, --, 5 km E Barberino di Mugello (FI)
23558761, 2019-12-09T03:51:23.690000, 44.0057, 11.3022, 9.4, SURVEY-INGV, , , , ML, 2.2, --, 5 km NW Scarperia e San Piero (FI)
23558991, 2019-12-09T03:56:14.250000, 44.0127, 11.2948, 8.7, SURVEY-INGV, , , , ML, 2.1, --, 5 km E Barberino di Mugello (FI)
23559081, 2019-12-09T03:57:47.690000, 43.9958, 11.3223, 9.3, SURVEY-INGV, , , , ML, 2.8, --, 4 km N Scarperia e San Piero (FI)
23559161, 2019-12-09T03:59:39.810000, 44.0033, 11.3323, 8.3, SURVEY-INGV, , , , ML, 2.9, --, 4 km N Scarperia e San Piero (FI)
23559201, 2019-12-09T04:01:35.830000, 44.01, 11.3013, 8.0, SURVEY-INGV, , , , ML, 2.3, --, 5 km E Barberino di Mugello (FI)
23559291, 2019-12-09T04:02:46.720000, 44.0177, 11.2898, 9.2, SURVEY-INGV, , , , ML, 2.8, --, 4 km E Barberino di Mugello (FI)
23559321, 2019-12-09T04:03:34.860000, 44.0133, 11.2983, 9.0, SURVEY-INGV, , , , ML, 2.1, --, 5 km E Barberino di Mugello (FI)
23559981, 2019-12-09T04:20:22.100000, 44.0092, 11.3008, 7.3, SURVEY-INGV, , , , ML, 2.6, --, 5 km E Barberino di Mugello (FI)
23560051, 2019-12-09T04:23:20.610000, 44.0068, 11.3123, 7.4, SURVEY-INGV, , , , ML, 2.9, --, 5 km N Scarperia e San Piero (FI)
23560081, 2019-12-09T04:24:00.000000, 44.0118, 11.3248, 8.4, SURVEY-INGV, , , , ML, 2.5, --, 5 km N Scarperia e San Piero (FI)
23560131, 2019-12-09T04:25:27.780000, 44.0017, 11.2875, 9.1, SURVEY-INGV, , , , ML, 2.7, --, 4 km E Barberino di Mugello (FI)
23560331, 2019-12-09T04:29:23.390000, 44.0088, 11.295, 9.2, SURVEY-INGV, , , , ML, 3.2, --, 5 km E Barberino di Mugello (FI)
23560551, 2019-12-09T04:38:02.950000, 44.0062, 11.3107, 8.0, SURVEY-INGV, , , , ML, 2.4, --, 5 km N Scarperia e San Piero (FI)
23560621, 2019-12-09T04:38:22.860000, 43.0458, 13.1635, 9.7, SURVEY-INGV, , , , ML, 2.1, --, 1 km NE Fiastra (MC)
23561151, 2019-12-09T05:17:20.980000, 44.008, 11.3103, 8.8, SURVEY-INGV, , , , ML, 3.0, --, 5 km N Scarperia e San Piero (FI)
23561171, 2019-12-09T05:19:33.780000, 44.0072, 11.2913, 8.5, SURVEY-INGV, , , , ML, 3.1, --, 4 km E Barberino di Mugello (FI)
23561241, 2019-12-09T05:24:03.700000, 44.0112, 11.3147, 8.5, SURVEY-INGV, , , , ML, 2.4, --, 5 km N Scarperia e San Piero (FI)
23561301, 2019-12-09T05:29:29.110000, 44.0053, 11.325, 9.0, SURVEY-INGV, , , , ML, 3.0, --, 5 km N Scarperia e San Piero (FI)
23561701, 2019-12-09T05:58:28.930000, 44.0183, 11.3003, 8.3, SURVEY-INGV, , , , ML, 2.1, --, 5 km E Barberino di Mugello (FI)
23562241, 2019-12-09T06:45:38.610000, 44.0083, 11.295, 7.6, SURVEY-INGV, , , , ML, 2.2, --, 4 km E Barberino di Mugello (FI)
23562431, 2019-12-09T06:55:40.760000, 44.0095, 11.3012, 8.1, SURVEY-INGV, , , , ML, 2.0, --, 5 km E Barberino di Mugello (FI)
23562491, 2019-12-09T06:57:42.370000, 44.0052, 11.2987, 7.4, SURVEY-INGV, , , , ML, 2.5, --, 5 km E Barberino di Mugello (FI)
23562551, 2019-12-09T07:05:04.820000, 43.9997, 11.2882, 8.0, SURVEY-INGV, , , , ML, 3.3, --, 4 km E Barberino di Mugello (FI)
23562721, 2019-12-09T07:07:35.730000, 44.0077, 11.3008, 7.5, SURVEY-INGV, , , , ML, 2.8, --, 5 km E Barberino di Mugello (FI)
23563091, 2019-12-09T07:52:16.920000, 44.019, 11.2832, 8.9, SURVEY-INGV, , , , ML, 2.2, --, 4 km E Barberino di Mugello (FI)
23563461, 2019-12-09T08:50:27.140000, 38.0703, 15.0028, 40.2, SURVEY-INGV, , , , ML, 2.3, --, 4 km NE San Piero Patti (ME)
23563681, 2019-12-09T09:17:17.930000, 44.0112, 11.3088, 7.4, SURVEY-INGV, , , , ML, 3.3, --, 5 km N Scarperia e San Piero (FI)
23565431, 2019-12-09T14:14:15.190000, 38.323, 13.3505, 4.6, SURVEY-INGV, , , , ML, 2.1, --, Costa Siciliana centro-settentrionale (Palermo)
23566061, 2019-12-09T15:20:07.860000, 44.0125, 11.2915, 8.4, SURVEY-INGV, , , , ML, 2.5, --, 4 km E Barberino di Mugello (FI)
23566081, 2019-12-09T15:21:35.460000, 44.0112, 11.2883, 8.0, SURVEY-INGV, , , , ML, 2.3, --, 4 km E Barberino di Mugello (FI)
23566791, 2019-12-09T17:33:52.610000, 43.0533, 13.1783, 9.5, SURVEY-INGV, , , , ML, 2.2, --, 3 km N Acquacanina (MC)
23566971, 2019-12-09T17:53:52.670000, 44.0033, 11.3192, 7.3, SURVEY-INGV, , , , ML, 2.0, --, 4 km N Scarperia e San Piero (FI)
23567461, 2019-12-09T18:46:18.060000, 38.7537, 15.7423, 160.5, SURVEY-INGV, , , , ML, 2.2, --, Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
23568031, 2019-12-09T23:22:00.460000, 42.4893, 13.2868, 12.9, SURVEY-INGV, , , , ML, 2.3, --, 4 km SW Capitignano (AQ)
23568841, 2019-12-10T06:30:57.780000, 39.7092, 15.4615, 10.0, SURVEY-INGV, , , , ML, 2.2, --, Tirreno Meridionale (MARE)
23570141, 2019-12-10T11:14:43.390000, 37.8207, 14.5913, 33.3, SURVEY-INGV, , , , ML, 2.0, --, 4 km N Troina (EN)
23573041, 2019-12-10T16:31:03.630000, 44.2053, 12.1512, 6.1, SURVEY-INGV, , , , ML, 2.2, --, 3 km NE Forlimpopoli (FC)
23573251, 2019-12-10T17:05:04.452000, 30.6211, 141.768, 19.5, SURVEY-INGV-A, , , , Mwp, 6.0, --, Southeast of Honshu, Japan [Sea: Japan]
